Nome: PALMAS;;;;;
Codigo Estacao: A009;;;;;
Latitude: -10.14777777;;;;;
Longitude: -48.31444444;;;;;
Altitude: 267;;;;;
Situacao: Operante;;;;;
Data Inicial: 2020-01-01;;;;;
Data Final: 2023-01-31;;;;;
Periodicidade da Medicao: Diaria;;;;;
;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);;;;
19/05/2021;0;;;;
20/05/2021;0;;;;
21/05/2021;0;;;;
22/05/2021;0;;;;
23/05/2021;0;;;;
24/05/2021;0;;;;
25/05/2021;0;;;;
26/05/2021;0;;;;
27/05/2021;0;;;;
28/05/2021;0;;;;
29/05/2021;0;;;;
30/05/2021;0;;;;
31/05/2021;0;;;;
01/06/2021;0;;;;
02/06/2021;0;;;;
03/06/2021;0;;;;
04/06/2021;0;;;;
05/06/2021;0;;;;
06/06/2021;0;;;;
07/06/2021;0;;;;
08/06/2021;0;;;;
09/06/2021;0;;;;
10/06/2021;0;;;;
11/06/2021;0;;;;
12/06/2021;0;;;;
13/06/2021;0;;;;
14/06/2021;0;;;;
15/06/2021;0;;;;
16/06/2021;0;;;;
17/06/2021;0;;;;
18/06/2021;0;;;;
19/06/2021;0;;;;
20/06/2021;0;;;;
21/06/2021;0;;;;
22/06/2021;0;;;;
23/06/2021;0;;;;
24/06/2021;0;;;;
25/06/2021;0;;;;
26/06/2021;0;;;;
27/06/2021;0;;;;
28/06/2021;0;;;;
29/06/2021;0;;;;
30/06/2021;0;;;;
01/07/2021;0;;;;
02/07/2021;0;;;;
03/07/2021;0;;;;
04/07/2021;0;;;;
05/07/2021;0;;;;
06/07/2021;0;;;;
07/07/2021;0;;;;
08/07/2021;0;;;;
09/07/2021;0;;;;
10/07/2021;0;;;;
11/07/2021;0;;;;
12/07/2021;0;;;;
13/07/2021;0;;;;
14/07/2021;0;;;;
15/07/2021;0;;;;
16/07/2021;0;;;;
17/07/2021;0;;;;
18/07/2021;0;;;;
19/07/2021;0;;;;
20/07/2021;0;;;;
21/07/2021;0;;;;
22/07/2021;0;;;;
23/07/2021;0;;;;
24/07/2021;0;;;;
25/07/2021;0;;;;
26/07/2021;0;;;;
27/07/2021;0;;;;
28/07/2021;0;;;;
29/07/2021;0;;;;
30/07/2021;0;;;;
31/07/2021;0;;;;
01/08/2021;0;;;;
02/08/2021;0;;;;
03/08/2021;0;;;;
04/08/2021;0;;;;
05/08/2021;0;;;;
06/08/2021;0;;;;
07/08/2021;0;;;;
08/08/2021;0;;;;
09/08/2021;0;;;;
10/08/2021;0;;;;
11/08/2021;0;;;;
12/08/2021;0;;;;
13/08/2021;0;;;;
14/08/2021;0;;;;
15/08/2021;0;;;;
16/08/2021;0;;;;
17/08/2021;0;;;;
18/08/2021;0;;;;
19/08/2021;0;;;;
20/08/2021;0;;;;
21/08/2021;0;;;;
22/08/2021;0;;;;
23/08/2021;0;;;;
24/08/2021;0;;;;
25/08/2021;0;;;;
26/08/2021;0;;;;
27/08/2021;0;;;;
28/08/2021;0;;;;
29/08/2021;0;;;;
30/08/2021;0;VARIAÇÃO 1= ESPECIFICAR;;;
31/08/2021;3,2;;;;
01/09/2021;0;;;;
02/09/2021;0;variação 2;;;
03/09/2021;0;;;;
04/09/2021;0;;;;
05/09/2021;0;;;;
06/09/2021;0;;;;
07/09/2021;0;;;;
08/09/2021;0;;;;
09/09/2021;0;;;;
10/09/2021;0;;;;
11/09/2021;0;;;;
12/09/2021;0;;;;
13/09/2021;0;;;;
14/09/2021;0;;;;
15/09/2021;0;;;;
16/09/2021;0;;;;
17/09/2021;0;;;;
18/09/2021;0;;;;
19/09/2021;0;;;;
20/09/2021;0;;;;
21/09/2021;0;;;;
22/09/2021;0;;;;
23/09/2021;0;variação 3;;;
24/09/2021;2,2;;;;
25/09/2021;5,2;;;;
26/09/2021;1,4;;25,6;;
27/09/2021;16,8;;;;
28/09/2021;0,2;;;;
29/09/2021;0;;;;
30/09/2021;0;variação 4 e 5;;;
01/10/2021;16,2;;;;
02/10/2021;21,8;;57,8;;
03/10/2021;19,8;;;;
04/10/2021;0;;;;
05/10/2021;0;;;;
06/10/2021;0;variação 6;;;
07/10/2021;0,6;;;;
08/10/2021;0;variação 7;;;
09/10/2021;3,2;;;;
10/10/2021;17,6;;;;
11/10/2021;0,2;;;38,8;
12/10/2021;17,8;;;;
13/10/2021;0;;;;
14/10/2021;8,6;;;;
15/10/2021;14,6;;;40,8;
16/10/2021;11,2;;;;
17/10/2021;0,2;;;;
18/10/2021;6,2;;;;
19/10/2021;0;;;;
20/10/2021;0;;;;
21/10/2021;0;;;;
22/10/2021;0;;;;
23/10/2021;2;;;;
24/10/2021;0,2;;;;
25/10/2021;1,8;;;;
26/10/2021;0;;;;
27/10/2021;0;;;;
28/10/2021;0;;;;
29/10/2021;0;;;;
30/10/2021;0,6;;;;
31/10/2021;14,4;;;;
01/11/2021;0;;;;
02/11/2021;7,4;;;;
03/11/2021;20;;;;
04/11/2021;21,6;;;;
05/11/2021;4,8;;;;
06/11/2021;2,2;;;;
07/11/2021;93;;;;
08/11/2021;0;;;;
09/11/2021;4,8;;;;
10/11/2021;10,4;;;;
11/11/2021;10,4;;;;
12/11/2021;34,8;;;;
13/11/2021;5,2;;;;
14/11/2021;16,2;;;;
15/11/2021;23,6;;;;
16/11/2021;46,6;;;;
17/11/2021;2,4;;;;
18/11/2021;8,4;;;;
19/11/2021;0;;;;
20/11/2021;8;;;;
21/11/2021;23,4;;;;
22/11/2021;13,6;;;;
23/11/2021;0;;;;
24/11/2021;0,2;;;;
25/11/2021;77,6;;;;
26/11/2021;19;;;;
27/11/2021;0,4;;;;
28/11/2021;0;;;;
29/11/2021;20,4;;;;
30/11/2021;0;;;;
01/12/2021;0;;;;
02/12/2021;26,8;;;;
03/12/2021;33;;;;
04/12/2021;0;;;;
05/12/2021;7;;;;
06/12/2021;13,6;;;;
07/12/2021;8,4;;;;
08/12/2021;66,8;;;;
09/12/2021;9,2;;;;
10/12/2021;0,4;;;;
11/12/2021;1,8;;;;
12/12/2021;0,4;;;;
13/12/2021;15,6;;;;
14/12/2021;0;;;;
15/12/2021;9,4;;;;
16/12/2021;1,2;;;;
17/12/2021;29,2;;;;
18/12/2021;6,8;;;;
19/12/2021;20,6;;;;
20/12/2021;12,8;;;;
21/12/2021;0;;;;
22/12/2021;1;;;;
23/12/2021;34,2;;;;
24/12/2021;62;;;;
25/12/2021;11,2;;;;
26/12/2021;14,8;;;;
27/12/2021;0;;;;
28/12/2021;0;;;;
29/12/2021;10,6;;;;
30/12/2021;0,6;;;;
